title,type,location,area_of_apt,no_of_bedrooms,no_of_bathrooms,Amenities,price,link
"Apartment ,3BD,all rooms VEIW swimming pool direct",Apartment,"De Joya, New Capital Compounds, New Capital City, Cairo",142,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",6500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-7211162.html
"Apart with garden sale De joya 4,corner,open view",Apartment,"De Joya, New Capital Compounds, New Capital City, Cairo",136,2,2,"['Balcony', 'Private Garden', 'Shared Pool', 'Security', 'View of Landmark', 'Lobby in Building', ""Children's Pool""]",6388000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-7210907.html
Premium Apartment Capital Gardens palm hills rtm,Apartment,"Capital Gardens Compound, New Capital Compounds, New Capital City, Cairo",194,3,3,"['Maids Room', 'Balcony', 'Private Garden', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",6960000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-capital-gardens-compound-7210464.html
شقه للبيع في سيليا العاصمه 139م حجز قديم فيو جاردن,Apartment,"Celia, New Capital Compounds, New Capital City, Cairo",139,3,2,"['Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Shared Gym', 'Lobby in Building']",9000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-celia-7209984.html
APT With Garden READY TO MOVE With installment 10Y,Apartment,"Oia, New Capital Compounds, New Capital City, Cairo",130,2,2,"['Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Shared Gym']",7351700,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-oia-7209503.html
شقة للبيع بكمبوند Dejoya بالعاصمة بمقدم 650 الف,Apartment,"Dejoya 3 New Capital, New Capital Compounds, New Capital City, Cairo",160,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",6220000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-dejoya-3-new-capital-7209329.html
"Own Your Twin House, Ready Now! FULLY FINISHED",Twin House,"New Garden City, New Capital Compounds, New Capital City, Cairo",310,4,4,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark']",31700000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-new-garden-city-7206794.html
Ready Townhouse ! In New Cairo Fully Finished,Townhouse,"New Garden City, New Capital Compounds, New Capital City, Cairo",248,3,3,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark']",23180000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-new-garden-city-7206626.html
Apartment 2BR Ready To Move+Showing ONLY 10% DP,Apartment,"Bleu Vert, New Capital Compounds, New Capital City, Cairo",142,2,2,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",6900000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-bleu-vert-7206443.html
"Studio In New Cairo RTM, With Special Price!",Apartment,"De Joya, New Capital Compounds, New Capital City, Cairo",70,1,1,"['Study', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",1980000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-7205867.html
"Villa In New Cairo - Fully Finished, Ready To Move",Villa,"New Garden City, New Capital Compounds, New Capital City, Cairo",400,4,4,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym']",43000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-new-garden-city-7205656.html
 Apartment Fully finished for sale in Al Maqsad ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",127,3,3,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances', 'View of Landmark', 'Lobby in Building']",3794000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7205026.html
RTM 162m apartment for resale - Capital Gardens,Apartment,"Capital Gardens Compound, New Capital Compounds, New Capital City, Cairo",162,2,2,"['Study', 'Balcony', 'Shared Pool', 'Security', 'Built in Wardrobes', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym']",5300000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-capital-gardens-compound-7204664.html
"Townhouse Ready To Move, Special Price - F.F",Townhouse,"New Garden City, New Capital Compounds, New Capital City, Cairo",245,4,4,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym']",23200000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-new-garden-city-7203990.html
Hotel apartment Fully Furnished+Highest ROI Over8Y,Hotel Apartment,"4T1, Downtown Area, New Capital City, Cairo",61,1,1,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",8000000,https://www.propertyfinder.eg/en/plp/buy/hotel-apartment-for-sale-cairo-new-capital-city-downtown-area-4t1-7203738.html
Apartment RTM|Prime Location in New Capital Over5Y,Apartment,"Pukka, New Capital Compounds, New Capital City, Cairo",109,2,2,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",7080000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-pukka-7203484.html
"Superlux villa,ready to move down payment1,500,000",Villa,"Mountain View Grand Valley, New Capital City, Cairo",250,6,4,"['Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances']",28000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-mountain-view-grand-valley-7141096.html
"Villa in Mountain View with down payment 1,500,000",Villa,"Mountain View Grand Valley, New Capital City, Cairo",351,6,4,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet']",3000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-mountain-view-grand-valley-7141035.html
Twin House Fully Finished RESALE- Ready To Move,Twin House,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",415,4,4,"['Study', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym']",26500000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7138540.html
Duplex 4BR Finished+Ready To Move in R3 ONLY 5%DP,Duplex,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",392,4,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",14400000,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7137753.html
Prime Location Apartment for sale in Serrano,Apartment,"Serrano, New Capital Compounds, New Capital City, Cairo",135,2,2,"['Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Shared Gym']",3300000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-serrano-7137171.html
شقه سوبر للبيع في سيليا العاصمه الاداريه,Apartment,"Celia, New Capital Compounds, New Capital City, Cairo",80,1,1,"['Balcony', 'Security', 'Covered Parking']",3000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-celia-7136709.html
2BEDROOMS Ready to Move + 10% Discount in IL BOSCO,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",137,2,2,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",7800000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7135826.html
Quattro Finished With Prime Location Ready To Move,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",260,4,5,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Shared Gym']",28600000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7134975.html
Premium Apartment for Sale in the New Administrati,Apartment,"Capital Prime New Capital, MU-23, New Capital City, Cairo",184,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances', 'View of Water']",5500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-mu-23-capital-prime-new-capital-7134951.html
4BEDROOMS At Lowest Price+Prime Location|Over12Y,Apartment,"Anakaji, New Capital Compounds, New Capital City, Cairo",220,4,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",7500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-anakaji-7134392.html
Townhouse 4BR At Lowest Price in New Capital|5%DP,Villa,"The Islands, New Capital City, Cairo",244,4,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",19800000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-the-islands-7132620.html
Townhouse Direct On Diplomatic District Over 10 Y,Villa,"Pukka, New Capital Compounds, New Capital City, Cairo",217,4,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",18900000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-pukka-7132581.html
Apartment 3BR Ready For Showing in R7 Over10Years,Apartment,"The City, New Capital Compounds, New Capital City, Cairo",154,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",6367000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-the-city-7132424.html
Fully finished villa RTM in MountainView with 5%DP,Villa,"Mountain View Grand Valley, New Capital City, Cairo",300,4,5,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",28000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-mountain-view-grand-valley-7132399.html
4BEDROOMS Next to Diplomatic District Over 12 Year,Apartment,"Kardia, New Capital Compounds, New Capital City, Cairo",189,4,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",7700000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-kardia-7132381.html
Duplex 440m Ready For Showing Next to BUE | 15%Dp,Duplex,"Stau, New Capital Compounds, New Capital City, Cairo",440,4,4,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",8800000,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-stau-7132236.html
"3BEDROOMS Finished+RTM in Garden City ONLY 1,2%Dp",Apartment,"New Garden City, New Capital Compounds, New Capital City, Cairo",263,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",10400000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-new-garden-city-7131891.html
Apartment READY TO MOVE in New Capital+ONLY5%DP,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",152,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",6718000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7131883.html
Duplex 5BR Ready For Showing in Stau R7 | Over 7 Y,Duplex,"Stau, New Capital Compounds, New Capital City, Cairo",444,5,4,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",8850000,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-stau-7131041.html
Apartment RTM At Lowest Price in New Capital+10%DP,Apartment,"Oia, New Capital Compounds, New Capital City, Cairo",153,3,2,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",8970000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-oia-7130891.html
Apartment 2bed At Launch Price in R8 Over 10 Years,Apartment,"Pukka, New Capital Compounds, New Capital City, Cairo",110,2,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",6000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-pukka-7130846.html
فيلا متشطبة استلام فوري مع ماونتن فيو تقسيط 9 سنين,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",250,4,4,"['Balcony', 'Private Garden', 'Shared Spa', 'Security', 'Shared Gym']",28500000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7129229.html
Apartment At Lowest Price in QAMARI Over 10 Years,Apartment,"Qamary, R8, New Capital City, Cairo",155,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",5000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r8-qamary-7128263.html
Apartment | For Sale | New Capital,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",114,2,1,"['Balcony', 'Security', 'Covered Parking']",4300000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7128175.html
"Apartment 150m in Launch DIPLO EAST ,R8 Only 5% Dp",Apartment,"Pukka, New Capital Compounds, New Capital City, Cairo",150,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",7800000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-pukka-7128067.html
Apartment 222m RTM in OIA New Capital Over 10 Year,Apartment,"Oia, New Capital Compounds, New Capital City, Cairo",222,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",11100000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-oia-7127972.html
